"nr","seriale","denominazione","indirizzo","latitudine","longitudine","installazione_tstamp"
1,"LS0621020065","Barco","Via Rino Maragno 46, Ferrara",44.860988,11.607838,1631224800
3,"LS0621020067","Modena","Via Guglielmo Marconi 19, Ferrara",44.846107,11.598717,1631224800
4,"LS0621020068","Porta Catena","Piazzale dei Giochi 67, Ferrara",44.84884,11.6129,1631829600
5,"LS0621020069","Arginone","Via Arginone 206 B, Ferrara",44.84227,11.58301,1631224800
6,"LS0621020070","Corso Isonzo","Corso Isonzo 1, Ferrara",44.84151,11.61211,1631829600
8,"LS0621020072","Mosti","Via Gaetano Recchi 5H, Ferrara",44.826850,11.609195,1631224800
9,"LS0621020073","Bologna","Via Bologna 549, Ferrara",44.808802,11.589487,1631224800
10,"LS0621020074","Cocomaro di Cona","Via Comacchio 687, Ferrara",44.812002,11.683750,1637794800
11,"LS0621020075","Villa Fulvia","Via delle Mandriole 29, Ferrara",44.82365,11.64844,1631829600
12,"LS0621020076","CUS Ferrara","Via Gramicia 70, Ferrara",44.850239,11.633109,1631829600
13,"LS0621020077","Pontelagoscuro","Via Antonio Dolcetti 32, Ferrara",44.879184,11.601144,1637794800
2,"LS0621020066","Porotto","Via Ladino 26, Porotto",44.84914,11.55080,1639436400
7,"LS0621020071","Darsena","Via Darsena 57, Ferrara",44.8346674322525,11.6075581203346,NULL
14,"LS0621020078","Corti di Medoro","Via Ludwig Van Beethoven 37, Ferrara",44.8221940,11.5940560,NULL
